player,position,kills,deaths,assists,gamelength,golddiffat10,golddiffat15,csdiffat10,csdiffat15
ShowMaker,mid,6,0,4,1479,5,1279,3,-3
ShowMaker,mid,8,0,8,1449,432,1660,-12,0
ShowMaker,mid,4,1,11,1609,-584,-415,9,3
ShowMaker,mid,2,1,8,1630,1117,907,27,34
ShowMaker,mid,2,1,1,1768,7,705,-3,-4
ShowMaker,mid,4,1,9,2018,186,-88,17,18
ShowMaker,mid,2,1,1,1708,236,-312,-17,-28
ShowMaker,mid,5,1,5,1395,293,829,12,15
ShowMaker,mid,14,1,5,1298,677,1023,16,21
ShowMaker,mid,3,1,6,2126,50,317,-3,-1
ShowMaker,mid,1,0,4,2952,-105,-128,7,7
ShowMaker,mid,4,1,8,1491,701,936,18,27
ShowMaker,mid,4,1,11,1820,341,480,18,28
ShowMaker,mid,1,0,17,1739,673,1908,9,15
ShowMaker,mid,5,0,6,1366,236,1080,8,10
ShowMaker,mid,1,2,6,2067,-656,-383,-5,-11
ShowMaker,mid,10,1,10,1893,118,690,5,14
ShowMaker,mid,2,3,6,1861,791,1215,-8,-14
ShowMaker,mid,2,1,5,2081,199,349,9,11
ShowMaker,mid,6,1,10,1541,202,735,8,6
ShowMaker,mid,8,0,11,1767,604,740,13,21
ShowMaker,mid,2,0,13,1322,473,1205,-8,-4
ShowMaker,mid,1,1,11,1393,57,918,2,5
ShowMaker,mid,6,0,5,1476,186,641,0,8
ShowMaker,mid,4,0,17,1778,736,2355,18,32
ShowMaker,mid,5,1,8,1649,-473,-716,-8,-24
ShowMaker,mid,7,1,8,1501,558,1589,28,40
ShowMaker,mid,11,0,5,1260,781,1725,13,25
ShowMaker,mid,1,1,3,1568,722,977,-8,-8
ShowMaker,mid,2,2,1,1852,348,-701,0,-14
ShowMaker,mid,4,0,10,1541,790,1060,-2,-8
ShowMaker,mid,2,1,13,1790,-269,-455,-10,-16
ShowMaker,mid,3,0,17,1548,853,1220,2,10
ShowMaker,mid,4,1,6,1674,240,764,2,8
ShowMaker,mid,1,1,6,1375,302,1097,12,31
ShowMaker,mid,6,0,10,1757,461,1452,3,1
ShowMaker,mid,4,2,7,2117,-218,-790,-12,-9
ShowMaker,mid,3,0,3,1552,-204,-27,9,14
ShowMaker,mid,2,0,7,1221,-31,291,-8,-10
ShowMaker,mid,2,1,5,2257,-320,-277,-15,-12
ShowMaker,mid,3,1,8,1903,-618,-700,-2,8
ShowMaker,mid,8,1,9,1799,86,-268,6,-14
